data,cliente_id,cliente_nome,empresa,segmento,canal,campanha,impressoes,cliques,custo,conversoes,receita
2026-01-21,45,Joana Silva,Correia S/A,Marketing,TikTok Ads,Awareness,36808,1236,2140.09,6,754.56
2026-01-19,35,Lucas Gabriel da Mata,Correia - ME,Marketing,Google Ads,Conversão,43694,426,1910.28,18,2106.05
2026-01-30,43,Ana Carolina Jesus,Caldeira,E-commerce,Meta Ads,Conversão,32992,517,873.01,100,11971.33
2026-01-11,75,Dom Fonseca,Sampaio,SaaS,Google Ads,Conversão,18983,390,1468.88,26,3178.1
2026-01-15,68,Eduardo Correia,Caldeira e Filhos,E-commerce,LinkedIn Ads,Retargeting,24617,1320,525.13,20,2036.04
2026-01-02,30,Melina Novais,Pacheco,E-commerce,LinkedIn Ads,Conversão,43233,1440,3163.11,112,14186.31
2026-01-15,70,Luiz Miguel Fernandes,da Mota,Marketing,LinkedIn Ads,Lead Gen,47080,483,1933.97,134,15710.51
2026-01-06,1,Maria Júlia Rios,Câmara,E-commerce,Meta Ads,Promo,18246,1739,3645.29,10,951.36
2026-01-01,88,Rhavi Nunes,Pires e Filhos,SaaS,Meta Ads,Lead Gen,48578,1046,4198.57,52,7514.92
2026-01-11,63,Isis Vieira,da Mata Novais - ME,SaaS,TikTok Ads,Retargeting,45791,1597,1394.62,31,3974.33
2026-01-14,20,Pedro Lucas Silveira,Porto,Varejo,Meta Ads,Lead Gen,19439,533,4139.77,147,20618.36
2026-01-27,75,Manuella Rezende,da Luz e Filhos,Varejo,Google Ads,Promo,7223,957,4546.25,59,3053.88
2026-01-12,82,Dr. Danilo Aragão,Dias,Varejo,Meta Ads,Black Friday,41244,1180,4795.11,140,17503.38
2026-01-24,53,Vitor Gabriel Silveira,Sales,E-commerce,Meta Ads,Conversão,8458,772,3378.19,88,11245.95
2026-01-18,29,Leonardo Almeida,Câmara,Marketing,TikTok Ads,Lead Gen,17345,721,1085.05,120,16988.87
2026-01-08,79,Rodrigo Castro,Pastor Moraes S/A,Marketing,Google Ads,Promo,9862,1500,4937.81,137,16337.18
2026-01-25,98,Luísa da Costa,da Paz,Marketing,TikTok Ads,Retargeting,19299,268,3603.48,56,6226.68
2026-01-21,30,Isadora Almeida,Gonçalves,Varejo,Meta Ads,Awareness,13966,1641,3806.57,83,5650.56
